21,Lake Placid,https://stillimg.olympic.org/games/170x170/1980_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/lake-placid-1980,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Moscow_1980/Moscow_1980_logo.jpg?interpolation=lanczos-none&resize=170:170
20,Moscow,https://stillimg.olympic.org/games/170x170/1980_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/moscow-1980,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Lake_Placid_1980/Lake_Placid_1980_logo.jpg?interpolation=lanczos-none&resize=170:170
23,Innsbruck,https://stillimg.olympic.org/games/170x170/1976_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/innsbruck-1976,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Montreal_1976/Montreal_1976_logo.jpg?interpolation=lanczos-none&resize=170:170
22,Montreal,https://stillimg.olympic.org/games/170x170/1976_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/montreal-1976,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Innsbruck_1976/Innsbruck_1976_logo.jpg?interpolation=lanczos-none&resize=170:170
24,Munich,https://stillimg.olympic.org/games/170x170/1972_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/munich-1972,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Munich_1972/Munich_1972_logo.jpg?interpolation=lanczos-none&resize=170:170
25,Sapporo,https://stillimg.olympic.org/games/170x170/1972_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/sapporo-1972,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Sapporo_1972/Sapporo_1972_logo.jpg?interpolation=lanczos-none&resize=170:170
27,Grenoble,https://stillimg.olympic.org/games/170x170/1968_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/grenoble-1968,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Mexico_1968/Mexico_1968_logo.jpg?interpolation=lanczos-none&resize=170:170
26,Mexico,https://stillimg.olympic.org/games/170x170/1968_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/mexico-1968,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Grenoble_1968/Grenoble_1968_logo.jpg?interpolation=lanczos-none&resize=170:170
29,Innsbruck,https://stillimg.olympic.org/games/170x170/1964_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/innsbruck-1964,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Tokyo_1964/Tokyo_1964_logo.jpg?interpolation=lanczos-none&resize=170:170
28,Tokyo,https://stillimg.olympic.org/games/170x170/1964_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/tokyo-1964,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Innsbruck_1964/Innsbruck_1964_logo.jpg?interpolation=lanczos-none&resize=170:170
